height	radius	angle	per100000Covered
0	5	45	27
0	5	90	55
0	5	135	83
0	5	180	110
0	5	225	138
0	5	270	166
0	5	360	221
5	5	45	42
5	5	90	85
5	5	135	127
5	5	180	170
5	5	225	212
5	5	270	255
5	5	360	340
10	5	45	50
10	5	90	101
10	5	135	152
10	5	180	202
10	5	225	253
10	5	270	304
10	5	360	405
20	5	45	61
20	5	90	122
20	5	135	183
20	5	180	244
20	5	225	305
20	5	270	366
20	5	360	488
50	5	45	76
50	5	90	153
50	5	135	229
50	5	180	306
50	5	225	382
50	5	270	459
50	5	360	612
0	10	45	81
0	10	90	163
0	10	135	245
0	10	180	327
0	10	225	409
0	10	270	491
0	10	360	655
5	10	45	123
5	10	90	246
5	10	135	369
5	10	180	492
5	10	225	615
5	10	270	739
5	10	360	985
10	10	45	144
10	10	90	288
10	10	135	432
10	10	180	576
10	10	225	720
10	10	270	865
10	10	360	1153
20	10	45	172
20	10	90	344
20	10	135	516
20	10	180	689
20	10	225	861
20	10	270	1033
20	10	360	1378
50	10	45	224
50	10	90	449
50	10	135	673
50	10	180	898
50	10	225	1123
50	10	270	1347
50	10	360	1796
0	15	45	146
0	15	90	293
0	15	135	439
0	15	180	586
0	15	225	733
0	15	270	879
0	15	360	1172
5	15	45	218
5	15	90	436
5	15	135	655
5	15	180	873
5	15	225	1092
5	15	270	1310
5	15	360	1747
10	15	45	253
10	15	90	506
10	15	135	759
10	15	180	1012
10	15	225	1265
10	15	270	1518
10	15	360	2024
20	15	45	299
20	15	90	599
20	15	135	898
20	15	180	1198
20	15	225	1498
20	15	270	1797
20	15	360	2397
50	15	45	392
50	15	90	785
50	15	135	1177
50	15	180	1570
50	15	225	1962
50	15	270	2355
50	15	360	3140
0	20	45	214
0	20	90	429
0	20	135	643
0	20	180	858
0	20	225	1072
0	20	270	1287
0	20	360	1716
5	20	45	318
5	20	90	636
5	20	135	954
5	20	180	1272
5	20	225	1591
5	20	270	1909
5	20	360	2545
10	20	45	367
10	20	90	734
10	20	135	1101
10	20	180	1468
10	20	225	1835
10	20	270	2202
10	20	360	2936
20	20	45	432
20	20	90	864
20	20	135	1296
20	20	180	1728
20	20	225	2160
20	20	270	2592
20	20	360	3456
50	20	45	566
50	20	90	1132
50	20	135	1698
50	20	180	2264
50	20	225	2830
50	20	270	3396
50	20	360	4528
0	25	45	282
0	25	90	564
0	25	135	846
0	25	180	1128
0	25	225	1410
0	25	270	1692
0	25	360	2256
5	25	45	417
5	25	90	834
5	25	135	1251
5	25	180	1668
5	25	225	2085
5	25	270	2502
5	25	360	3336
10	25	45	479
10	25	90	959
10	25	135	1439
10	25	180	1919
10	25	225	2399
10	25	270	2879
10	25	360	3838
20	25	45	562
20	25	90	1125
20	25	135	1688
20	25	180	2251
20	25	225	2813
20	25	270	3376
20	25	360	4502
50	25	45	736
50	25	90	1472
50	25	135	2208
50	25	180	2945
50	25	225	3681
50	25	270	4417
50	25	360	5890
0	50	45	571
0	50	90	1143
0	50	135	1714
0	50	180	2286
0	50	225	2857
0	50	270	3429
0	50	360	4572
5	50	45	832
5	50	90	1664
5	50	135	2496
5	50	180	3328
5	50	225	4160
5	50	270	4992
5	50	360	6657
10	50	45	950
10	50	90	1901
10	50	135	2852
10	50	180	3802
10	50	225	4753
10	50	270	5704
10	50	360	7605
20	50	45	1108
20	50	90	2216
20	50	135	3325
20	50	180	4433
20	50	225	5541
20	50	270	6650
20	50	360	8866
50	50	45	1444
50	50	90	2888
50	50	135	4332
50	50	180	5776
50	50	225	7221
50	50	270	8665
50	50	360	11553
